City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,ashmyany,54.425,25.9378,266.15,91,100,7.26,BY,1701093991
228,sokur,55.2093,83.319,268.35,97,74,2.61,RU,1701093991
229,kingscliff,-28.2667,153.5667,295.22,94,75,0.51,AU,1701093899
230,port moresby,-9.4431,147.1797,298.53,91,80,0.18,PG,1701093992
231,zemio,5.0314,25.1361,303.3,56,50,1.76,CF,1701093992
232,el calafate,-50.3408,-72.2768,280.85,52,99,1.78,AR,1701093823
233,rockland,41.1668,-74.0496,280.79,89,5,4.66,US,1701093845
234,as sulayyil,20.4607,45.5779,305.29,24,42,1.78,SA,1701093993
235,katima mulilo,-17.5,24.2667,304.7,33,87,6.88,NA,1701093993
236,thompson,55.7435,-97.8558,248.24,84,20,1.03,CA,1701093791
237,dunedin,-45.8742,170.5036,285.26,97,70,2.68,NZ,1701093772
238,port lincoln,-34.7333,135.8667,286.91,88,100,9.24,AU,1701093787
239,crane,31.3974,-102.3501,277.65,42,96,3.65,US,1701093808
240,portland,45.5234,-122.6762,279.14,73,20,5.81,US,1701093838
241,brookings,44.3114,-96.7984,263.2,86,20,3.09,US,1701093993
242,anadyr,64.75,177.4833,274.43,80,0,5.0,RU,1701093686
243,rancho palos verdes,33.7445,-118.387,289.26,35,82,4.02,US,1701093994
244,ancud,-41.8697,-73.8203,286.31,73,100,2.78,CL,1701093862
245,nar'yan-mar,67.6713,53.087,249.65,100,55,2.46,RU,1701093801
246,juegang,32.3174,121.1855,284.39,51,0,3.79,CN,1701093994
247,prado,-17.3411,-39.2208,296.23,96,100,1.64,BR,1701093994
248,mundybash,53.211,87.2983,266.04,99,48,1.63,RU,1701093994
249,antofagasta,-23.65,-70.4,291.75,61,22,3.66,CL,1701093880
250,kolonia,50.9333,6.95,278.18,90,75,5.14,DE,1701093751
251,fort st. john,56.2499,-120.8529,276.09,65,75,9.77,CA,1701093995
252,fada,9.5667,8.3,306.4,24,92,2.96,NG,1701093856
253,mareeba,-17.0,145.4333,296.55,92,100,0.61,AU,1701093995
254,ulladulla,-35.35,150.4667,293.02,90,99,2.99,AU,1701093995
255,ovalle,-30.5983,-71.2003,295.19,57,4,1.77,CL,1701093721
256,kununurra,-15.7667,128.7333,302.14,74,49,3.09,AU,1701093838
257,akkol',48.7833,53.2,279.87,80,100,2.31,KZ,1701093996
258,laredo,27.5064,-99.5075,284.29,46,100,4.12,US,1701093996
259,san cristobal de las casas,16.75,-92.6333,285.32,87,72,1.89,MX,1701093997
260,vila franca do campo,37.7167,-25.4333,291.38,99,73,3.59,PT,1701093997
261,katsuura,35.1333,140.3,290.61,74,8,9.27,JP,1701093799
262,daira din panah,30.5702,70.9361,293.45,26,78,3.1,PK,1701093997
263,tura,25.5198,90.2201,291.98,74,100,1.35,IN,1701093781
264,kiunga,-6.1219,141.2906,296.93,98,100,0.2,PG,1701093838
265,santiago de cao,-7.9589,-79.2392,293.22,77,89,4.63,PE,1701093997
266,geraldton,-28.7667,114.6,294.38,68,75,4.63,AU,1701093997
267,porto novo,6.4965,2.6036,304.05,55,86,4.04,BJ,1701093898
268,balta,47.9355,29.6198,272.3,68,96,7.94,UA,1701093998
269,el rama,12.1596,-84.2195,297.42,97,100,2.84,NI,1701093998
270,yigo village,13.5361,144.8886,300.55,81,75,5.66,GU,1701093998
271,sur,22.5667,59.5289,298.91,55,0,4.4,OM,1701093998
272,guanica,17.9716,-66.908,303.44,58,0,4.42,PR,1701093998
273,puerto aysen,-45.4,-72.7,288.07,75,100,0.18,CL,1701093999
274,cannonvale,-20.2833,148.7,296.81,85,100,2.11,AU,1701093999
275,new norfolk,-42.7826,147.0587,284.87,86,89,0.38,AU,1701093871
276,barnard castle,54.5415,-1.919,278.6,92,99,6.78,GB,1701093999
277,swakopmund,-22.6833,14.5333,292.58,81,47,3.58,NA,1701093999
278,aki,33.5,133.9,283.12,92,20,1.34,JP,1701093999
279,keflavik,64.0049,-22.5624,280.39,100,100,9.26,IS,1701093767
280,ushibukamachi,32.1906,130.0228,290.88,61,72,7.75,JP,1701093999
281,tafuna,-14.3358,-170.72,301.12,94,100,8.75,AS,1701094000
282,fale old settlement,-9.3852,-171.2468,302.11,78,100,5.61,TK,1701093776
283,rantauprapat,2.1,99.8333,297.0,98,100,0.81,ID,1701094000
284,zayed city,24.3768,54.589,300.93,52,0,3.6,AE,1701094000
285,nantucket,41.2835,-70.0995,285.23,83,20,7.72,US,1701093683
286,la ronge,55.1001,-105.2842,259.29,85,100,0.0,CA,1701093800
287,rechka-vydrino,51.485,104.8461,264.1,77,100,4.92,RU,1701094001
288,chizhou,30.6578,117.4831,285.6,55,0,0.48,CN,1701094001
289,bridgewater,44.3835,-64.5155,280.99,94,100,14.92,CA,1701093770
290,ilulissat,69.2167,-51.1,271.16,86,75,3.6,GL,1701093773
291,fort-shevchenko,44.5086,50.263,281.76,73,100,11.29,KZ,1701094001
292,santa cruz do sul,-29.7175,-52.4258,299.48,67,100,1.75,BR,1701093822
293,gizo,-8.103,156.8419,300.78,79,98,1.74,SB,1701093780
294,kapa'a,22.0752,-159.319,297.33,89,75,6.17,US,1701093800
295,bardai,11.65,7.2333,307.65,15,10,4.53,NG,1701094002
296,weno,7.4515,151.8468,301.12,89,75,4.12,FM,1701093847
297,debila,33.5167,6.95,292.86,30,100,3.33,DZ,1701094002
298,viedma,-40.8135,-62.9967,293.77,29,80,11.66,AR,1701094002
299,manuguru,17.981,80.7547,298.95,65,28,1.77,IN,1701094002
300,dawei,14.0833,98.2,298.93,71,81,3.07,MM,1701094003
301,nemuro,43.3236,145.575,277.73,56,99,2.31,JP,1701093834
302,pisz,53.6274,21.8125,271.03,70,16,1.72,PL,1701094003
303,whangarei,-35.7317,174.3239,283.0,97,19,1.5,NZ,1701094003
304,baiyin,36.5583,104.2081,274.62,41,0,1.05,CN,1701094003
305,jawf al maqbabah,13.8378,45.8349,298.12,50,33,2.14,YE,1701094003
306,rudbar,30.15,62.6,293.56,35,0,1.07,AF,1701093878
307,xilin hot,43.9667,116.0333,253.86,91,6,2.87,CN,1701094004
308,plastun,44.7561,136.2939,268.78,92,100,2.03,RU,1701094004
309,mugia,43.1041,-9.2179,289.35,79,100,3.21,ES,1701093778
310,olinda,-8.0089,-34.8553,303.0,70,75,6.17,BR,1701093832
311,sisimiut,66.9395,-53.6735,268.79,87,100,4.67,GL,1701093865
312,luderitz,-26.6481,15.1594,301.04,44,4,12.21,NA,1701094004
313,tucumcari,35.1717,-103.725,266.06,93,0,3.09,US,1701094004
314,whakatane,-37.9585,176.9854,286.77,86,100,3.05,NZ,1701093903
315,camayenne,9.535,-13.6878,301.42,68,3,3.51,GN,1701094004
316,obock,12.25,43.0833,298.06,49,6,6.64,DJ,1701094005
317,maragogi,-9.0122,-35.2225,302.22,62,50,4.69,BR,1701093766
318,kone,-21.0595,164.8658,294.54,86,28,1.9,NC,1701093796
319,wainwright,52.839,-110.8572,267.38,92,100,2.55,CA,1701094005
320,pulawy,51.4166,21.9694,273.44,83,100,3.72,PL,1701094005
321,tadine,-21.55,167.8833,294.42,76,11,4.2,NC,1701094005
322,ninghai,29.2892,121.4247,285.99,77,0,1.11,CN,1701094006
323,ji'an,27.1172,114.9793,287.95,67,0,1.55,CN,1701093888
324,ningde,26.6617,119.5228,288.05,87,0,1.02,CN,1701093774
325,ola,59.5833,151.2833,255.94,77,95,4.78,RU,1701094006
326,luganville,-15.5333,167.1667,299.2,84,98,4.6,VU,1701094006
327,puerto cabezas,14.0351,-83.3888,300.37,88,65,3.82,NI,1701094006
328,castillos,-34.1667,-53.8333,297.03,62,5,5.02,UY,1701094006
329,santa ana,33.7456,-117.8678,289.77,27,40,1.34,US,1701093639
330,laurentides,46.4334,-74.9826,274.66,96,100,4.27,CA,1701094006
331,toliara,-23.35,43.6667,300.65,65,0,5.72,MG,1701094007
332,sao paulo de olivenca,-3.3783,-68.8725,303.95,60,46,0.14,BR,1701094007
333,jebrail,39.3992,47.0283,291.9,27,1,5.61,AZ,1701094007
334,jianguang,28.1938,115.7836,287.69,66,0,1.27,CN,1701094007
335,hami,42.8,93.45,276.74,42,26,3.02,CN,1701093821
336,kristiansund,63.1115,7.732,271.51,54,0,7.72,NO,1701094007
337,sandnessjoen,66.0217,12.6316,270.21,50,0,2.06,NO,1701093840
